65 夏まつり卵 egg happy: dims=[(481, 630), (463, 646), (455, 654), (462, 638)] edges(L,T,R,B)=[(1, 292, 184, 251, 210), (2, 305, 166, 256, 212), (3, 312, 159, 257, 211), (4, 299, 175, 263, 211)]
65 夏まつり卵 egg sway: dims=[(399, 500), (405, 500), (398, 500), (403, 500)] edges(L,T,R,B)=[(1, 312, 335, 313, 189), (2, 309, 335, 310, 189), (3, 313, 335, 313, 189), (4, 310, 335, 311, 189)]
66 まつりピンクスライム baby happy: dims=[(694, 615), (677, 631), (711, 639), (656, 623)] edges(L,T,R,B)=[(1, 186, 193, 144, 216), (2, 198, 178, 149, 215), (3, 184, 170, 129, 215), (4, 202, 187, 166, 214)]
66 まつりピンクスライム baby walk: dims=[(599, 470), (678, 470), (520, 470), (525, 470)] edges(L,T,R,B)=[(1, 212, 365, 213, 189), (2, 173, 365, 173, 189), (3, 252, 365, 252, 189), (4, 249, 365, 250, 189)]
67 まつりブルースライム baby happy: dims=[(614, 615), (627, 631), (597, 639), (612, 623)] edges(L,T,R,B)=[(1, 226, 192, 184, 217), (2, 223, 174, 174, 219), (3, 241, 166, 186, 219), (4, 224, 181, 188, 220)]
67 まつりブルースライム baby walk: dims=[(534, 470), (522, 470), (545, 470), (537, 470)] edges(L,T,R,B)=[(1, 245, 365, 245, 189), (2, 251, 365, 251, 189), (3, 239, 365, 240, 189), (4, 243, 365, 244, 189)]
68 ミニまつりフェアリー child happy: dims=[(522, 675), (559, 691), (541, 699), (554, 683)] edges(L,T,R,B)=[(1, 272, 153, 230, 196), (2, 257, 137, 208, 196), (3, 269, 129, 214, 196), (4, 253, 145, 217, 196)]
68 ミニまつりフェアリー child walk: dims=[(462, 545), (490, 545), (479, 545), (456, 545)] edges(L,T,R,B)=[(1, 281, 300, 281, 179), (2, 267, 300, 267, 179), (3, 272, 300, 273, 179), (4, 284, 300, 284, 179)]
69 まつりミニドラ child happy: dims=[(560, 675), (539, 691), (528, 699), (525, 683)] edges(L,T,R,B)=[(1, 253, 149, 211, 200), (2, 267, 132, 218, 201), (3, 276, 118, 220, 207), (4, 267, 141, 232, 200)]
69 まつりミニドラ child walk: dims=[(466, 545), (517, 545), (489, 545), (489, 545)] edges(L,T,R,B)=[(1, 279, 300, 279, 179), (2, 253, 300, 254, 179), (3, 267, 300, 268, 179), (4, 267, 300, 268, 179)]
70 まつりミニビースト child happy: dims=[(568, 675), (566, 691), (587, 699), (534, 683)] edges(L,T,R,B)=[(1, 249, 142, 207, 207), (2, 254, 124, 204, 209), (3, 246, 117, 191, 208), (4, 263, 134, 227, 207)]
70 まつりミニビースト child walk: dims=[(493, 545), (514, 545), (514, 545), (514, 545)] edges(L,T,R,B)=[(1, 265, 300, 266, 179), (2, 255, 300, 255, 179), (3, 255, 300, 255, 179), (4, 255, 300, 255, 179)]
71 屋台ドラゴン adult happy: dims=[(600, 755), (663, 771), (632, 779), (528, 763)] edges(L,T,R,B)=[(1, 233, 85, 191, 184), (2, 205, 69, 156, 184), (3, 224, 61, 168, 184), (4, 266, 77, 230, 184)]
71 屋台ドラゴン adult walk: dims=[(546, 625), (609, 625), (587, 625), (533, 625)] edges(L,T,R,B)=[(1, 239, 240, 239, 159), (2, 207, 240, 208, 159), (3, 218, 240, 219, 159), (4, 245, 240, 246, 159)]
72 盆踊りみならい adult happy: dims=[(448, 755), (482, 771), (476, 779), (462, 763)] edges(L,T,R,B)=[(1, 309, 87, 267, 182), (2, 296, 71, 246, 182), (3, 302, 63, 246, 182), (4, 299, 79, 263, 182)]
72 盆踊りみならい adult walk: dims=[(400, 625), (456, 625), (453, 625), (422, 625)] edges(L,T,R,B)=[(1, 312, 240, 312, 159), (2, 284, 240, 284, 159), (3, 285, 240, 286, 159), (4, 301, 240, 301, 159)]
