asset_id,category,screen,usage,recommended_w,recommended_h,format,current_path,priority,notes
bg_main_01,background,all,全画面背景,1440,2560,png,"/img/ui/background.png",high,"縦長基準。軽量化のため圧縮推奨"
monster_egg_01,monster,tutorial-egg|birth-event|home|dex_detail,タマゴ表示,1024,1024,png,"/img/monster/1_egg.png",high,"透過PNG推奨"
monster_main_series,monster,home|birth-event|dex_detail,モンスター本体(各ID),1024,1024,png,"/img/monster/*.png",high,"全モンスター同サイズ推奨"
icon_power_01,icon,home|tasks,属性Powerアイコン,128,128,png,"/img/icon/power.png",high,"正方形"
icon_heal_01,icon,home|tasks,属性Healアイコン,128,128,png,"/img/icon/heal.png",high,"正方形"
icon_knowledge_01,icon,home|tasks,属性Knowledgeアイコン,128,128,png,"/img/icon/knowledge.png",high,"正方形"
icon_create_01,icon,home|tasks,属性Createアイコン,128,128,png,"/img/icon/create.png",high,"正方形"
btn_primary_01,ui,tutorial-egg|birth-event,主要ボタン背景,640,176,png,"/img/ui/button_bluestart.png.png",high,"現ファイル名は拡張子重複。可能なら button_bluestart.png に統一"
fx_levelup_01,ui,birth-event,誕生演出/レベルアップ演出,512,512,png,"/img/ui/Levelup.png",medium,"発光系は余白込み推奨"
ui_egg_symbol_01,ui,birth-event,演出用タマゴ記号,512,512,png,"/img/ui/egg.png",medium,"monster_egg_01と役割分離"
ui_shadow_01,ui,home|fallback,未設定時プレースホルダー,512,512,png,"/img/ui/shadowmonster.png",medium,"画像欠損時の保険"
frame_card_01,ui_frame,home|tasks|dex|settings,カード装飾フレーム,1200,600,png,medium,"半透明重ね想定"
panel_title_01,ui_frame,all,見出しプレート,800,180,png,medium,"画面タイトルの統一感"
tab_icon_home_01,tab,all(下タブ),ホームタブアイコン,96,96,png,high,"線幅を他タブと統一"
tab_icon_tasks_01,tab,all(下タブ),タスクタブアイコン,96,96,png,high,""
tab_icon_dex_01,tab,all(下タブ),図鑑タブアイコン,96,96,png,high,""
tab_icon_settings_01,tab,all(下タブ),設定タブアイコン,96,96,png,high,""
rarity_badge_common,badge,dex|dex_detail,レアリティ表示(common),200,80,png,medium,"色違いで4種"
rarity_badge_normal,badge,dex|dex_detail,レアリティ表示(normal),200,80,png,medium,""
rarity_badge_rare,badge,dex|dex_detail,レアリティ表示(rare),200,80,png,medium,""
rarity_badge_ultra,badge,dex|dex_detail,レアリティ表示(ultra_rare),220,80,png,medium,""
stage_badge_egg,badge,home|dex_detail,成長段階バッジ(egg),180,72,png,low,"段階ごとに5種"
stage_badge_baby,badge,home|dex_detail,成長段階バッジ(baby),180,72,png,low,""
stage_badge_child,badge,home|dex_detail,成長段階バッジ(child),180,72,png,low,""
stage_badge_adult,badge,home|dex_detail,成長段階バッジ(adult),180,72,png,low,""
stage_badge_final,badge,home|dex_detail,成長段階バッジ(final),180,72,png,low,""
bg_tutorial_01,background,tutorial|tutorial-egg,チュートリアル専用背景,1440,2560,jpg,medium,"通常背景との差別化"
bg_birth_event_01,background,birth-event,誕生イベント専用背景,1440,2560,jpg,high,"演出の印象を強化"
bg_dex_01,background,dex|dex_detail,図鑑専用背景,1440,2560,jpg,medium,"収集感を強化"
effect_star_01,effect,birth-event|tasks,キラ演出スプライト,256,256,png,medium,"数パターンあると良い"
effect_smoke_01,effect,birth-event,孵化演出スモーク,512,512,png,low,"透過で重ねる"
effect_exp_pop_01,effect,tasks,EXP獲得ポップ画像,320,120,png,high,"EXP +N表示に使用"
ui_progress_frame_01,ui_frame,home,EXPバー枠,1000,120,png,high,"バーと枠を分離"
ui_attr_bar_frame_01,ui_frame,home,属性バー枠,1000,110,png,medium,"4属性で使い回し"
btn_secondary_01,button,settings|task-settings,サブボタン背景,560,160,png,medium,"主要ボタンとトーン統一"
empty_state_quests_01,illustration,home|tasks,未達成タスク0件時イラスト,600,600,png,low,"達成感の演出"
logo_title_01,branding,tutorial|home,アプリロゴ,1200,400,png,medium,"タイトル固定化"
